Genes,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24
Myof,5.802118375,5.891644212,5.123963979,6.308098442,5.976350909,5.899897354,5.429345629,5.918893854,5.645446898,5.590986981,5.198497031,3.612270112,4.219507705,5.036952602,1.386294361,4.262679877,2.48490665,1.098612289,0,0.693147181,0.693147181,0.693147181,0.693147181,1.098612289
Ticam2,4.762173935,5.141663557,4.007333185,5.129898715,4.905274778,4.820281566,4.727387819,5.153291594,4.553876892,4.276666119,3.951243719,2.223922341,3.912023005,4.584967479,4.343805422,4.394449155,0,4.418840608,0,0,0.693147181,2.079441542,0.693147181,0
Gm13373,0,0,0,0,0,0,0,0,1.609437912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sh2b2,5.676753802,4.859812404,5.332718793,5.846438775,5.590986981,4.912654886,5.429345629,4.844187086,5.214935758,5.537334267,5.225746674,0.880234666,3.951243719,4.574710979,2.079441542,3.401197382,0,0.693147181,0,3.931825633,0.693147181,2.708050201,0.693147181,0
Gm15987,7.360739903,7.493873887,7.126890809,7.899524472,7.460490306,7.549609165,7.079184395,6.881411304,7.083387848,7.260522598,7.052721049,3.868858668,0.693147181,4.043051268,3.784189634,3.465735903,0,2.48490665,1.098612289,3.218875825,0,2.197224577,2.708050201,2.772588722
Tespa1,7.247792582,6.951772164,6.962243464,7.841885929,7.660114319,7.156956365,7.323170718,6.929516771,6.97634807,6.863803391,6.680854679,3.935292808,7.889833751,7.718240952,8.059276223,7.897296473,8.202208436,8.198914445,8.207129168,7.552762084,7.903965634,7.518607217,7.43366654,7.535296702
Gm11698,0,0.693147181,0,0,0,0,0,0,0,0,0,0,1.609437912,0,3.091042453,0,0,0,0,0,0,0,0,0
Slamf1,7.266827348,6.602587892,7.177782416,7.570443252,7.400620577,6.895682698,7.145196135,6.306275287,6.777646594,6.924612396,6.606650186,4.862825015,5.579729826,6.200509174,6.716594774,6.244166901,6.249975242,6.901737207,6.476972363,6.455198563,6.300785795,6.418364936,5.988961417,6.298949247
Ptpn13,3.713572067,0,0,0,0,0,0,0,0.693147181,0,0.693147181,0.484452215,5.733341277,5.710427017,6.621405652,5.590986981,5.081404365,5.872117789,5.147494477,6.104793232,5.429345629,6.447305863,6.411818268,5.590986981
Klra7,2.833213344,4.304065093,1.098612289,4.454347296,0,2.564949357,0,2.995732274,0.693147181,0,0,3.368366106,4.248495242,4.127134385,5.111987788,5.209486153,5.786897381,5.620400866,6.018593214,5.648974238,5.883322388,5.897153868,5.141663557,5.713732806
Ighv8-8,6.03068526,5.342334252,5.509388337,6.212606096,6.146329258,6.059123196,5.537334267,5.429345629,5.730099783,5.894402834,5.902633333,5.207465873,0,0,0,0,3.988984047,0,0,0,2.564949357,0.693147181,0,0
Gm36932,1.098612289,0,0,0,0,0,0,0,0.693147181,0,0,0,5.676753802,6.12249281,5.950642553,5.840641657,6.003887067,5.948034989,6.663132696,5.945420609,6.052089169,6.161207322,5.710427017,5.267858159
Il1rn,0,0,0,0,0,0,0,0,0,0,0,0,0,3.688879454,4.343805422,2.890371758,2.564949357,0,2.995732274,0,4.356708827,0,2.833213344,0
Trf,0,0,0,0,0,0,0,0,0,0,0,0.693890224,1.609437912,0.693147181,3.555348061,0,0,0,0,0,0,3.091042453,0,0
Zfp366,0,0,0,0,0,2.397895273,0,0,0,0,0,0,3.36729583,2.564949357,0,0,0,0.693147181,0.693147181,0,0,0,2.772588722,0
Klrb1b,0,3.258096538,0,0,0,0,0,0,0,0,2.564949357,0,0,2.833213344,3.36729583,2.397895273,3.988984047,0,1.791759469,0,1.791759469,3.496507561,2.708050201,3.36729583
Ighv2-2,6.109247583,5.583496309,5.926926026,5.973809612,6.308098442,5.924255797,5.686975356,5.293304825,5.736572297,5.59471138,5.686975356,2.402479179,0,0,0,0,0,0,0,0,0,0,0,0
Igkv4-68,6.12905021,5.501258211,5.568344504,5.966146739,6.104793232,5.697093487,5.762051383,5.730099783,5.96100534,5.860786223,5.937536205,1.540632405,0,0.693147181,0.693147181,0,0,0,0,0,0,0,0,0
Gm30948,5.198497031,4.770684624,0,5.252273428,3.526360525,4.262679877,4.262679877,3.970291914,3.663561646,0.693147181,3.465735903,0.592716928,5.955837369,5.123963979,6.693323668,6.188264123,6.06610809,6.047372179,6.530877628,5.272999559,6.841615476,5.82008293,5.33753808,5.236441963
Lrmda,0,0,0,0,3.496507561,0,0,0,0,0,0,0,0,0.693147181,0.693147181,0,0,0,0,1.609437912,0,1.945910149,0,0
Ighv1-39,6.12905021,5.666426688,5.361292166,6.049733455,6.282266747,5.996452089,5.605802066,5.342334252,5.937536205,5.916202063,6.077642243,5.57167973,0,0,0,0,0,0,0,0,0,0,0,0
Gm15448,5.356586275,5.123963979,5.433722004,5.846438775,5.332718793,5.017279837,5.609471795,5.587248658,5.272999559,4.934473933,5.480638923,1.216642761,0,4.248495242,2.564949357,0,0,0,0,0,0,0,0.693147181,0
Gapt,6.272877007,6.02827852,6.378426184,6.587550015,6.520621128,5.998936562,6.045005314,5.886104031,6.240275845,6.063785209,6.120297419,5.182003588,1.791759469,2.708050201,4.804021045,1.098612289,0.693147181,0,0,0,0,0,0,1.945910149
Clec4b1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.708050201,0,0,0,0,0,0,0
Gm36328,3.713572067,2.995732274,0,3.33220451,2.302585093,0.693147181,0.693147181,0.693147181,1.386294361,1.609437912,2.197224577,0,0,1.791759469,0.693147181,0,0,0,0,0,0,0,0,1.945910149
Adora2b,1.609437912,3.36729583,0,2.772588722,2.995732274,3.850147602,0,3.295836866,1.609437912,0.693147181,2.397895273,0.709068188,2.564949357,1.791759469,0.693147181,0,0,2.772588722,0,3.526360525,0,1.609437912,0.693147181,2.302585093
Cadm3,0,0,0,0,0,0,0,0,1.609437912,0,0,0,3.610917913,0,0,2.564949357,0,0,0,3.135494216,0,0.693147181,0,0
Traj6,0,0,0,0,0,0,0,0,0,0,0.693147181,0,5.669880923,5.950642553,5.950642553,5.983936281,5.236441963,6.549650742,6.656726524,5.777652323,5.780743516,5.556828062,5.831882477,5.605802066
Rusc2,0,0,0,0,0,3.465735903,0,0.693147181,0,0,0,0.921381141,0,2.890371758,0,0,0,0,0,0.693147181,0,0.693147181,0,0.693147181
Igkv4-72,6.208590026,5.686975356,5.529429088,5.80814249,6.276643489,5.780743516,5.755742214,5.081404365,6.011267174,6.126869184,5.697093487,2.498770022,0,0,0,0,0,0,0,0,0,0,0,0
Gm17767,0,0.693147181,0,0.693147181,0,0,0,0,0.693147181,0,0,0,0,0,0,0,0,0,0,2.48490665,0,3.295836866,0,0
Lcn4,0,0,0,2.197224577,0,0,0,0,0,0,0,0.417263536,5.673323267,6.161207322,6.329720906,5.869296913,5.880532986,6.43775165,6.084499413,5.863631176,5.96870756,5.65248918,5.111987788,4.762173935
Rnase6,8.623353387,8.344742754,8.770904744,8.861633598,8.731820583,8.314097335,8.168486417,8.014335737,8.327967858,8.395477433,8.415381925,5.861191572,3.401197382,4.859812404,4.672828834,4.553876892,4.094344562,3.850147602,0,3.970291914,3.135494216,2.564949357,0.693147181,0.693147181
A530010L16Rik,2.772588722,2.944438979,2.564949357,2.995732274,0,0.693147181,0,0,1.945910149,3.80666249,1.945910149,0.430716581,3.044522438,0,0,0,0,0,0,0,0,1.791759469,0,3.17805383
Ets1,10.83826632,10.58098796,10.45077046,10.99641706,10.98859236,10.83997299,10.64932206,10.42326301,10.69923645,10.62037567,10.6364322,3.584169364,10.84263507,10.91485207,11.1557361,10.72134925,10.96157294,11.22481663,11.12326973,10.87335697,10.86113134,10.62721243,10.35111775,10.38776384
Ighv1-50,5.976350909,5.860786223,5.176149733,6.263398263,6.216606101,5.793013608,4.859812404,5.690359454,5.733341277,5.666426688,6.194405391,3.639401389,0,0,0,0,0,0,0,0,0,0,0,0
Diras2,6.476972363,5.831882477,6.278521424,6.525029658,6.609349243,6.421622268,6.825460036,5.96100534,6.300785795,6.052089169,5.983936281,3.588869755,0,0,0,0,0,0,0,4.043051268,0,0,0,0.693147181
H2-Ab1,11.79049659,11.53629037,11.65860897,11.93421799,12.0672128,11.69061967,11.52330145,11.31749435,11.78963253,11.77737218,11.60048752,2.146011063,5.758901774,6.308098442,6.445719819,6.00635316,6.898714534,4.521788577,4.700480366,3.80666249,3.496507561,4.700480366,3.970291914,4.127134385
Ppm1h,3.17805383,3.951243719,1.386294361,4.007333185,3.555348061,2.944438979,1.386294361,2.564949357,3.433987204,4.912654886,2.772588722,0.357679304,8.928507824,9.164086987,9.250522162,8.982309899,9.145268375,9.423514392,9.239704981,9.014447135,9.007244516,8.727778213,8.43468077,8.605936401
Tbc1d4,0,3.465735903,0,0,0,0,0,0,0,0,0.693147181,0,6.559615237,6.618738984,7.018401799,6.424869024,7.10824414,6.502790046,7.251344983,6.668228248,6.568077911,6.647688374,6.633318433,6.210600077
Card10,0,0,0,2.890371758,2.708050201,0,0,0.693147181,3.433987204,1.609437912,0,0.504903537,2.397895273,3.663561646,0,0.693147181,4.779123493,4.477336814,2.708050201,4.077537444,4.276666119,4.574710979,3.713572067,2.397895273
Ccr1,3.33220451,3.295836866,0,3.912023005,4.189654742,3.258096538,0.693147181,1.945910149,1.945910149,2.833213344,3.970291914,1.259562412,3.555348061,4.787491743,0,3.871201011,3.688879454,0,0,3.555348061,1.386294361,0,0,0
Col4a2,0,0,0,2.197224577,1.945910149,0,0,0,0.693147181,3.33220451,0,1.352805433,0,4.043051268,0,2.833213344,4.025351691,2.833213344,0,0,2.197224577,3.17805383,2.833213344,2.197224577
Gm1043,5.480638923,5.099866428,4.477336814,6.142037406,5.416100402,5.509388337,5.497168225,5.416100402,6.073044534,5.164785974,4.890349128,2.573660794,6.049733455,6.396929655,6.448889394,6.318968114,6.267200549,6.805722553,6.939253946,6.56667243,6.776506992,6.553933404,6.240275845,6.269096284
4930455G09Rik,0,2.197224577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147181
Trbv14,0,0,0,0,0,0,0,0,0,0,0,0,5.940171253,5.693732139,6.663132696,5.455321115,6.304448802,6.232448017,5.686975356,6.202535517,5.579729826,4.941642423,4.852030264,5.220355825
Airn,0,0,0,0,2.833213344,2.197224577,2.48490665,0,2.890371758,0,0.693147181,0,5.407171771,5.948034989,6.369900983,5.010635294,5.80814249,6.018593214,6.487684018,5.645446898,6.077642243,6.135564891,5.505331536,5.583496309
Igkv9-124,6.068425588,5.459585514,4.804021045,6.410174882,5.840641657,5.463831805,5.680172609,5.973809612,5.857933154,5.926926026,5.659482216,0.294095588,0,0.693147181,0,0,0,0,0,0,0,0,0,0
9130008F23Rik,0,1.609437912,0,0.693147181,0,0,0,0,3.135494216,2.197224577,0,0,0,0,0,2.397895273,0,0,0,0,2.197224577,0.693147181,0.693147181,0
Zfhx3,3.583518938,4.025351691,0.693147181,4.510859507,4.795790546,4.317488114,3.688879454,3.828641396,4.709530201,1.945910149,3.970291914,0,4.477336814,5.468060141,4.875197323,3.610917913,5.087596335,4.204692619,2.564949357,3.526360525,4.736198448,4.49980967,2.48490665,4.382026635
Traj22,0,0,0,0,0,0,0.693147181,0,0,0,0.693147181,0,6.025865974,6.327936784,5.631211782,6.120297419,6.12905021,6.159095388,6.135564891,5.634789603,6.018593214,5.973809612,5.655991811,5.347107531
Il24,6.28785856,6.049733455,3.970291914,6.568077911,6.06610809,5.872117789,5.988961417,5.480638923,6.159095388,5.560681631,5.736572297,2.874442675,0,0,0,0,0,0,0,0,0,0,0,1.098612289
Aatk,0,3.258096538,3.17805383,1.945910149,2.48490665,1.609437912,0,3.433987204,0,0,0,0.177854082,2.708050201,4.094344562,1.386294361,0,2.564949357,0,0,0.693147181,0,2.197224577,0,0
Slpi,0,2.397895273,0,0,0,0,0,0,0,0,0,0,3.258096538,4.158883083,2.302585093,4.007333185,3.931825633,3.63758616,0,3.36729583,4.094344562,3.951243719,1.098612289,3.17805383
Igkj2,6.527957918,5.897153868,5.493061443,6.593044534,6.142037406,5.886104031,6.013715156,5.846438775,5.327876169,5.545177444,5.860786223,4.543145228,0,0,0,0,0,0,0,0.693147181,0,0,0,1.791759469
Bfsp2,5.950642553,5.937536205,6.073044534,6.182084907,6.289715571,5.891644212,5.480638923,5.164785974,5.587248658,5.92157842,6.11146734,4.282056581,0,2.302585093,0,4.49980967,0.693147181,0,4.025351691,0,0,2.302585093,0,0
Igkv6-13,6.232448017,4.96284463,5.313205979,5.929589143,6.293419279,6.11368218,5.472270674,5.049856007,5.648974238,6.385194399,5.771441123,1.799109755,0,0,0,0,0,0,0,0,0,0,0,0
Pbx1,5.236441963,4.844187086,4.736198448,5.225746674,4.17438727,4.795790546,4.510859507,3.951243719,4.605170186,4.189654742,4.477336814,0.448726808,2.708050201,4.644390899,4.143134726,3.80666249,0.693147181,0,2.772588722,0,0.693147181,0,0,0.693147181
Ramp1,1.609437912,3.688879454,0,0.693147181,0,0,0.693147181,0,2.079441542,1.791759469,2.48490665,0.464285195,7.368339686,7.193685818,7.143617603,7.522400231,7.092573716,7.301822342,7.107425474,6.997595983,7.265429723,6.679599186,6.634633358,6.429719478
Unc5cl,4.691347882,5.683579767,4.94875989,5.863631176,5.860786223,5.451038454,5.472270674,5.093750201,5.267858159,5.768320996,5.062595033,1.82213173,6.263398263,6.8134446,6.982862751,6.947937069,6.492239835,7.006695227,6.633318433,6.458338283,6.583409222,6.476972363,6.214608098,5.955837369
Dgat2,1.945910149,2.564949357,0,0,3.295836866,0.693147181,0,1.386294361,3.401197382,0,2.708050201,1.060303761,1.609437912,2.197224577,0,2.708050201,3.555348061,0.693147181,3.496507561,0,3.891820298,3.970291914,0,2.833213344
Fcer1g,4.477336814,5.081404365,4.543294782,5.141663557,3.044522438,4.574710979,3.850147602,4.465908119,3.688879454,5.214935758,3.970291914,2.686667422,5.214935758,5.717027701,6.666956792,5.777652323,5.976350909,5.442417711,4.709530201,4.718498871,5.247024072,4.927253685,4.787491743,5.442417711
Slamf6,8.215006433,7.880426344,7.889833751,8.321178307,8.219056661,7.977281987,7.697575347,7.638198244,7.791522819,7.438971592,7.684324068,2.42087903,8.544808358,8.898365607,9.031213706,8.662331957,8.646289765,9.032170186,8.984818996,8.91798071,8.80282316,9.152181458,8.362875831,8.71078434
Inpp5j,0,0,0,2.772588722,1.945910149,0,0,0,1.609437912,0,0,0,0,0.693147181,3.33220451,4.356708827,0.693147181,0,3.295836866,0,3.761200116,0.693147181,1.609437912,2.944438979
Gpr83,0,0,0,0,0,0,0,0.693147181,0,2.564949357,0,0,5.874930731,6.542471961,5.723585102,5.723585102,5.676753802,6.839476438,6.159095388,6.501289671,5.609471795,6.133398043,5.521460918,5.831882477
Mcoln3,5.755742214,4.454347296,5.370638028,5.402677382,5.062595033,5.529429088,5.247024072,4.753590191,4.077537444,4.110873864,5.153291594,1.831107821,5.402677382,5.159055299,6.154858094,4.9698133,5.624017506,5.828945618,5.411646052,5.093750201,5.463831805,5.030437921,4.736198448,4.634728988
Gprin3,0,2.890371758,0,3.433987204,0,2.944438979,0.693147181,3.891820298,0,1.609437912,0,0,7.474204806,7.098375639,7.622663951,7.242797923,7.347299701,7.561641746,7.909122183,7.244941546,7.574045005,7.423568444,7.275864601,7.329093736
Rnf144b,3.496507561,2.302585093,4.454347296,2.302585093,0.693147181,1.609437912,4.110873864,0,0,0,3.258096538,1.531242253,3.33220451,0,4.477336814,1.609437912,0,2.944438979,1.945910149,0,2.079441542,0,3.988984047,2.079441542
Fam196a,0,0,0,0,0,0,0,0,0,0,0,2.346990279,0,0,1.609437912,0,0,0,0,0,0,0,0,0
Gm16158,4.744932128,4.454347296,2.48490665,5.420534999,4.682131227,4.234106505,4.49980967,5.225746674,5.081404365,4.770684624,4.369447852,0.398027972,5.187385806,5.693732139,5.758901774,3.496507561,5.537334267,5.720311777,5.924255797,4.820281566,6.08221891,5.634789603,4.96284463,5.323009979
Gm16150,5.958424693,5.683579767,5.141663557,6.29710932,6.11146734,5.783825182,4.844187086,4.836281907,5.59471138,5.18178355,4.59511985,1.154158025,4.8978398,5.257495372,4.718498871,5.187385806,4.9698133,5.723585102,5.545177444,4.634728988,5.814130532,5.283203729,4.564348191,4.882801923
Dclk2,7.580189418,7.236339343,6.745236349,7.902117546,7.816013839,7.368970402,7.208600338,7.138867,7.455298486,6.968850378,7.28756064,1.885716367,5.049856007,5.170483995,4.919980926,4.189654742,4.859812404,6.013715156,5.655991811,5.323009979,5.730099783,5.521460918,5.680172609,5.198497031
Azin2,0,1.945910149,0,0,0,0,0,0,0,0,0.693147181,1.061362693,0,0,0,0,0,0,0,0,0,0,0,0.693147181
Gm37176,5.872117789,5.765191103,3.988984047,6.03068526,6.059123196,5.627621114,5.204006687,5.214935758,5.030437921,4.143134726,5.214935758,2.697820753,5.707110265,6.69950034,6.894670039,6.50578406,6.259581464,6.340359304,6.797940413,6.173786104,6.516193076,6.690842277,6.052089169,6.059123196
Fosl2,4.454347296,2.079441542,1.098612289,3.295836866,2.995732274,4.219507705,4.077537444,0,3.044522438,4.912654886,2.197224577,2.434375444,6.466144724,6.548219103,6.282266747,5.192956851,6.09356977,6.862757913,6.329720906,6.23636959,6.214608098,6.436150368,5.80814249,6.311734809
AC238811.1,0,1.386294361,0,2.63905733,1.791759469,1.386294361,0.693147181,1.791759469,1.791759469,0,0,0.803842609,0,1.609437912,0.693147181,1.791759469,1.945910149,2.833213344,0.693147181,0.693147181,1.609437912,1.386294361,1.098612289,0.693147181
Ccdc30,2.564949357,0,0,1.098612289,0,1.609437912,0,1.791759469,0,0,0,0,6.075346031,5.996452089,6.51174533,6.338594078,6.018593214,6.023447593,6.278521424,5.771441123,6.188264123,4.634728988,5.484796933,5.497168225
Lck,6.361302478,6.391917113,6.371611847,6.835184586,6.637258031,5.752572639,6.246106765,6.126869184,6.269096284,6.232448017,5.857933154,2.326049741,9.899730504,9.876476003,10.15591802,10.10123124,10.08138266,10.38031162,9.98635703,9.774915272,9.666815401,9.536257095,9.404178689,9.196748418
Nxpe2,6.510258341,6.593044534,6.242223265,7.183870715,6.979145275,6.693323668,6.388561406,6.249975242,6.527957918,6.267200549,6.086774727,2.063424979,0.693147181,3.091042453,3.295836866,0,0,3.63758616,0,2.397895273,2.708050201,3.465735903,0,0.693147181
Gm37169,3.33220451,0.693147181,0,1.945910149,2.397895273,2.708050201,0.693147181,0,0,0.693147181,0,1.013855146,5.746203191,5.774551546,5.697093487,6.204557763,5.924255797,6.656726524,6.448889394,5.880532986,6.202535517,6.304448802,5.375278408,5.723585102
Gm29438,3.496507561,0,0,1.609437912,3.496507561,3.988984047,0,0,0,0,0,0,0,1.945910149,0,4.779123493,2.63905733,0,0,0,2.708050201,3.36729583,2.079441542,0.693147181
Tnip3,0,0.693147181,0,0,0,0,0,0,1.609437912,0,2.079441542,0,3.135494216,2.397895273,0,0.693147181,1.945910149,2.890371758,0,0,0,0.693147181,4.007333185,1.098612289
Hes1,5.710427017,5.521460918,4.234106505,5.796057751,5.855071922,5.402677382,4.94875989,4.912654886,5.347107531,5.375278408,5.81711116,0.935974096,0,2.63905733,0.693147181,0,1.098612289,0,0.693147181,0,0,0,0,1.609437912
C130050O18Rik,3.828641396,4.17438727,2.197224577,4.553876892,4.634728988,3.583518938,3.36729583,4.276666119,4.564348191,0,4.477336814,0.667130092,3.433987204,4.700480366,4.17438727,4.060443011,4.007333185,0,4.189654742,1.609437912,3.218875825,3.80666249,0,0
Ppic,0,0,0.693147181,0,0,0,0,0,0,0,0,0,6.126869184,6.142037406,6.003887067,5.857933154,5.81711116,6.421622268,5.799092654,4.465908119,6.086774727,5.823045895,5.641907071,5.468060141
Hectd2,0,3.044522438,0,0,0,0,0,0,2.944438979,0,0.693147181,0,4.025351691,5.926926026,5.655991811,4.663439094,4.553876892,5.068904202,5.468060141,4.718498871,5.799092654,5.272999559,4.59511985,4.8978398
Fgd2,8.590071837,8.160232492,8.42485858,8.463370385,8.88765269,8.611047767,8.63016467,8.222553638,8.66733585,8.296047643,8.600798775,7.56012524,2.564949357,4.859812404,4.753590191,1.098612289,3.218875825,3.465735903,2.48490665,0.693147181,0.693147181,4.276666119,1.609437912,2.397895273
Gm48065,4.430816799,4.094344562,3.33220451,2.302585093,3.761200116,4.59511985,4.304065093,3.737669618,3.737669618,2.48490665,3.496507561,1.517168506,3.218875825,1.945910149,0,0,0,0,0,0,0,0,0,0
Gm42372,0,0,0,2.197224577,0,2.397895273,0,0,1.609437912,2.197224577,2.079441542,0,6.216606101,6.03068526,6.22059017,6.253828812,6.386879319,6.576469569,6.490723535,5.855071922,6.333279628,6.376726948,5.802118375,6.025865974
Pirb,7.291656209,7.157735484,6.549650742,7.629489916,7.559038255,7.196686571,7.209340257,6.796823718,7.501634458,7.235619141,7.147559271,1.244498969,4.875197323,6.575075841,6.133398043,5.883322388,3.555348061,3.891820298,2.397895273,1.098612289,3.583518938,3.091042453,4.204692619,3.663561646
Gjb2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.610917913,0,0,0,0,2.708050201,0,0,0,0
Fam71b,0,0,0,0,0.693147181,0,0,0,0,0,0,0,5.988961417,5.743003188,6.556778356,5.683579767,5.513428746,6.744059186,5.560681631,5.826000107,6.192362489,5.874930731,4.882801923,5.332718793
Hs3st1,5.799092654,5.293304825,4.672828834,5.780743516,5.723585102,6.22059017,6.161207322,5.529429088,5.96100534,5.777652323,5.955837369,1.873975167,0,0,0,0,0,0,0,0,0,0,0,0
Ighv5-16,5.823045895,5.65248918,5.950642553,6.104793232,6.315358002,5.783825182,5.463831805,4.976733742,5.814130532,5.774551546,5.669880923,5.075434878,3.044522438,0,0,0,0.693147181,0,0,0,0,0,0,0
Dennd2a,3.433987204,2.197224577,0.693147181,0,2.302585093,0,0,0,3.295836866,3.17805383,0,0,0,2.197224577,0,0.693147181,0,0,0,0,0,0,0.693147181,0
Igkv3-12,5.645446898,5.236441963,5.768320996,6.257667588,6.274762021,5.655991811,5.988961417,5.308267697,5.758901774,5.834810737,6.165417854,1.23933244,0,0,0,0,0,0,0,0,0,0,0,0
Gprc5b,0,0,0,0,0,0,0,0,0,1.945910149,3.496507561,0.184678726,6.159095388,5.771441123,6.202535517,6.148468296,5.733341277,6.928537818,6.03787092,5.96100534,5.96100534,4.955827058,5.455321115,5.278114659
Gm33104,0,1.609437912,0,2.079441542,0,0,0,0,0.693147181,0,0,0,5.298317367,6.073044534,5.966146739,5.342334252,5.955837369,6.381816017,5.429345629,5.891644212,6.200509174,5.905361848,5.147494477,5.978885765
Ctnnd1,1.791759469,2.833213344,3.044522438,1.945910149,0,0,0,1.791759469,0,0,0,0.890142726,0,0,0,0.693147181,1.609437912,0,0.693147181,0,0,1.791759469,2.944438979,0
Fyb,5.036952602,5.056245805,4.369447852,5.023880521,2.564949357,4.543294782,4.934473933,4.919980926,4.094344562,4.955827058,4.369447852,2.240329007,9.810000709,9.860319057,10.15401278,9.693383615,9.858594784,10.10956633,10.11455852,9.831078137,9.866512316,9.650722072,9.259035294,9.485696795
Dna2,3.465735903,3.80666249,1.791759469,4.770684624,2.833213344,5.209486153,2.890371758,4.110873864,4.430816799,4.077537444,1.609437912,0.616925613,4.204692619,4.644390899,4.343805422,3.761200116,4.574710979,3.871201011,4.077537444,4.8978398,2.944438979,4.919980926,4.317488114,4.406719247
Tnik,7.100851909,6.717804695,5.755742214,7.264030143,7.479299638,6.922643891,6.860663671,6.697034248,6.840546529,6.633318433,6.617402978,4.548431495,9.009936308,8.979164649,9.137769679,8.558527055,9.103311799,9.553362539,9.373054282,8.775703887,8.996528148,8.939974177,8.283999304,8.643825842
Gm16565,0,0.693147181,0,0,0,0,0.693147181,0,0,0.693147181,0,0,5.934894196,5.587248658,6.008813185,6.455198563,6.061456919,5.828945618,6.472346295,5.942799375,6.011267174,6.391917113,5.780743516,5.65248918
Serpinb6b,3.295836866,4.927253685,3.610917913,4.025351691,4.077537444,1.386294361,4.584967479,2.944438979,2.833213344,2.708050201,1.386294361,0,6.095824562,6.33150185,6.104793232,5.823045895,6.472346295,6.792344427,6.261491684,6.749931194,6.418364936,6.403574198,6.018593214,5.991464547
P2ry10,8.761080104,8.426392827,8.77059433,8.743691111,8.449556543,8.490643856,8.377011161,8.117312462,7.770223204,8.063062911,8.034306936,0.172311561,8.136810864,7.972121129,8.431199478,7.845024417,8.076826031,8.461046031,8.411832676,7.917171989,8.03915739,7.869783903,7.709756864,7.81197343
Plau,0,0,0,0,0,0,0.693147181,0,3.044522438,0,0,0,3.931825633,0,2.197224577,0,0.693147181,0.693147181,0.693147181,0,0,2.772588722,0,1.609437912
Igsf23,0,0,0,0,0,0.693147181,0,0,0,0,0,0,5.620400866,5.857933154,6.265301213,6.120297419,6.013715156,5.733341277,6.285998095,5.347107531,5.869296913,4.919980926,5.017279837,5.459585514
Styk1,0,2.197224577,1.609437912,0,1.945910149,0,0,0,0,0.693147181,0,0,0,0,3.970291914,0,2.708050201,3.583518938,0.693147181,3.433987204,2.197224577,2.833213344,1.791759469,2.995732274
S1pr5,1.945910149,4.430816799,1.098612289,3.218875825,3.218875825,3.044522438,3.784189634,3.135494216,3.465735903,0,3.610917913,3.69016376,3.80666249,4.382026635,4.795790546,4.158883083,5.424950017,4.744932128,3.36729583,4.553876892,3.761200116,4.859812404,5.105945474,3.433987204
Ighv1-76,5.278114659,5.874930731,5.398162702,6.156978986,6.403574198,5.521460918,5.872117789,4.17438727,5.883322388,5.513428746,5.613128106,5.022475202,0,0,0,0,0,0,0,0,0,0,0,0
Nkg7,3.295836866,4.882801923,1.098612289,4.812184355,3.433987204,4.736198448,2.772588722,3.912023005,3.044522438,3.828641396,3.218875825,2.486880208,7.572502985,7.754910272,8.279697134,8.047189562,8.168486417,8.564839845,8.035278911,8.03106018,7.951559331,7.847371836,7.723120092,7.334981879
4930469K13Rik,0,0.693147181,0,1.098612289,0.693147181,0,0,0,0,1.609437912,0,0.938837889,5.986452005,5.783825182,5.826000107,6.063785209,5.505331536,5.736572297,6.159095388,5.505331536,6.285998095,6.011267174,4.615120517,5.733341277
Retnlg,0,1.609437912,0.693147181,0,0,1.098612289,0,0,0,0,0,0,0.693147181,4.248495242,5.442417711,3.36729583,3.737669618,0,3.663561646,0,0,0,0,0
Amotl2,0,2.564949357,0,0,3.135494216,0,0,0,0,3.135494216,0,0.198545265,4.204692619,1.609437912,2.708050201,0,0,0,0.693147181,0,0,0,0,0
Zfp385a,6.426488457,5.993961427,6.200509174,6.356107661,6.599870499,6.400257445,6.28785856,5.743003188,6.398594935,6.045005314,6.56526497,5.682210906,3.401197382,4.532599493,5.023880521,5.209486153,3.36729583,1.609437912,1.098612289,0.693147181,2.197224577,3.295836866,0,0.693147181
Gm48720,0,0,0,0,0,0,0,0,0,0,0,0,5.236441963,5.375278408,6.440946541,5.97126184,6.17586727,5.894402834,5.866468057,5.361292166,5.993961427,5.855071922,4.804021045,5.638354669
Clec9a,3.401197382,0,0,3.688879454,0,0,0,2.564949357,2.564949357,0,3.433987204,2.304994708,0,0,0,0,0,0,0,0,0,3.258096538,0,0
Igkv13-84,6.084499413,5.247024072,5.505331536,5.883322388,6.03787092,5.872117789,5.459585514,5.313205979,5.303304908,6.023447593,5.97126184,3.064774594,0,0,0,0.693147181,0,0,0,0,0,0,0,0
Gpr15,0,0.693147181,0,2.890371758,0,0,0,0,0,0,0.693147181,1.885079713,5.257495372,5.513428746,5.690359454,5.093750201,5.752572639,6.562444094,5.602118821,6.293419279,6.045005314,6.154858094,5.579729826,6.350885717
