Genes,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24
Vipr2,0,1.945910149,0,0,0,1.098612289,0,0,0,0,1.609437912,2.040485904,0,0,0,3.555348061,0,0,0,0,0,0,1.098612289,0
Atp1b1,6.616065185,5.973809612,6.084499413,6.131226489,6.529418838,6.510258341,6.752270376,5.934894196,6.499787041,6.238324625,6.582025139,0.02459343,7.939158818,7.696667082,7.994294986,7.943427768,8.05452261,8.19450551,8.069029329,7.713784617,7.995643604,7.50659178,7.233455419,7.614805365
Rgs11,0,1.609437912,4.127134385,3.761200116,2.302585093,0,2.944438979,0.693147181,0,3.401197382,0,2.320368836,6.137727054,5.66296048,6.605297921,6.37331979,5.749392986,6.748759547,6.411818268,6.29710932,5.843544417,6.269096284,5.96100534,6.06610809
Bmp7,0,0,0,0,0,0,0,0,0,0,0,0.521990724,4.394449155,3.988984047,5.442417711,5.613128106,5.010635294,4.9698133,4.442651256,5.081404365,4.634728988,4.672828834,5.225746674,5.209486153
Sla2,2.63905733,4.369447852,3.951243719,4.276666119,3.912023005,3.871201011,0,3.850147602,2.397895273,2.079441542,2.995732274,1.025905093,7.450660796,7.291656209,8.2204031,7.751905333,7.68386398,7.69211334,7.767263997,7.464509835,7.593374193,7.247080585,6.902742737,6.971668605
Klri1,0,2.890371758,0,0,0,0,0,0,0,0,0,0,2.079441542,0,1.609437912,2.564949357,0,1.945910149,3.33220451,2.564949357,2.708050201,3.988984047,3.295836866,2.079441542
Gm37248,6.352629396,5.545177444,3.135494216,6.01615716,6.052089169,5.978885765,5.225746674,5.831882477,5.393627546,3.044522438,4.844187086,1.861097307,7.198931241,7.559038255,7.544861069,7.40731771,7.20489251,7.559559496,7.768110379,6.629363253,7.464509835,7.429520843,6.841615476,7.037027615
8030453O22Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147181,0.693147181,0,0,0,0,0,0,0
Slc13a3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scml4,8.198639455,7.973844376,7.850882665,8.661985936,8.436633684,8.250620082,8.115221973,7.889459149,8.224431573,8.167068178,8.046869511,3.569194165,8.665785595,9.062768008,9.161885152,8.8596475,8.867286524,9.38555339,9.228376734,8.869679375,8.979794491,8.640118538,8.346167594,8.33854488
Hcrtr2,5.762051383,5.710427017,5.225746674,6.131226489,5.347107531,5.398162702,4.890349128,4.234106505,5.030437921,4.158883083,5.298317367,2.954194436,0.693147181,0,0,0,0.693147181,0,0,0.693147181,0,0,0.693147181,0
Epb41l1,3.17805383,0,0,0,0,0,1.609437912,1.945910149,0,0,2.48490665,0.602000896,5.361292166,5.38907173,5.556828062,5.513428746,5.683579767,6.249975242,5.105945474,5.214935758,5.840641657,4.836281907,4.94875989,4.406719247
Klrc3,0,0,0,0,0,0,0,0,0,2.944438979,0,1.166672839,2.564949357,1.609437912,0,2.079441542,2.397895273,3.218875825,4.219507705,0.693147181,2.302585093,2.564949357,0,3.091042453
Plxdc2,0,1.386294361,0,0,0,1.945910149,0.693147181,0.693147181,1.609437912,0,0,0.117451589,2.564949357,1.098612289,4.143134726,0,0,0,4.127134385,3.737669618,3.663561646,2.197224577,0,2.397895273
C1qc,0,2.564949357,0,0,0,0,0,0,0,0,0,0,0,1.609437912,0,0,0,0,0,0,0,0,0,0
Pvrig,0,2.833213344,0,0,0,0,0,0,0,0,0,0,0,2.302585093,4.934473933,3.091042453,3.295836866,4.356708827,3.850147602,4.276666119,3.526360525,4.442651256,3.951243719,4.17438727
Espn,3.33220451,0,4.158883083,3.295836866,1.945910149,3.135494216,0,1.098612289,3.465735903,0.693147181,0.693147181,3.30220461,7.202661197,7.591861715,7.330405212,7.260522598,7.338888134,7.243512975,7.469654173,7.076653815,7.427738841,7.398786275,6.927557906,7.280697195
Gm17034,2.995732274,3.33220451,0,0,1.098612289,0,2.708050201,0.693147181,1.945910149,4.17438727,2.890371758,0.1498603,3.218875825,0,4.007333185,0,0,0,2.397895273,0,3.135494216,2.197224577,0,0
Meis1,3.871201011,0,4.317488114,3.784189634,0,2.197224577,2.995732274,2.564949357,3.737669618,0,3.433987204,1.367457643,2.944438979,0,2.772588722,3.555348061,0.693147181,2.197224577,0,0,1.609437912,4.110873864,0,1.609437912
9230117E06Rik,0,0,0,0,0,0,0,1.098612289,0,0,0,0,0,0,0,0,0,0,0,0.693147181,0,2.833213344,0,0
H2-Ob,10.2474318,9.908126775,9.867186573,10.35175669,10.33374283,9.984929281,9.948699895,9.746541302,10.02782683,10.00622463,9.941842506,1.034320914,6.949856455,7.155396302,7.705262475,7.103322063,7.051855623,7.366445148,7.307872781,7.090909822,7.102499356,6.746412129,6.587550015,6.533788838
Gm48876,0,0,0,2.397895273,0,1.609437912,0,0,0,0,0,0,4.983606622,5.272999559,5.676753802,4.304065093,5.327876169,5.379897354,4.317488114,5.147494477,5.433722004,5.117993812,4.615120517,4.828313737
Capns2,4.143134726,1.609437912,0,0,3.688879454,0,3.970291914,0,0,4.343805422,0,0,0,0,0,0,0,0.693147181,1.386294361,0,0,0,0,0
Lyn,9.510296805,9.250714266,9.216918687,9.604272564,9.581283046,9.230044955,9.085683767,8.871645668,9.182043773,9.222170124,9.237858258,5.5877953,5.676753802,6.532334292,6.135564891,5.59471138,4.430816799,4.262679877,4.859812404,4.941642423,4.418840608,4.919980926,4.043051268,5.278114659
Gm17586,2.564949357,2.564949357,1.609437912,0,3.828641396,2.564949357,3.295836866,0.693147181,2.48490665,0,0,0.646932362,0,2.708050201,2.302585093,2.197224577,3.218875825,0,0,0,0,2.397895273,0,0
Spic,3.761200116,4.418840608,4.454347296,5.267858159,5.159055299,4.17438727,3.871201011,3.737669618,4.394449155,3.931825633,3.526360525,0.336936877,1.945910149,0.693147181,0,0,0,0,0,0,0,0,0,0
9430025C20Rik,5.123963979,4.605170186,3.931825633,4.941642423,5.198497031,5.123963979,4.430816799,3.737669618,4.189654742,3.663561646,4.343805422,3.152374779,0.693147181,0,3.295836866,0,0,0.693147181,1.609437912,1.945910149,4.17438727,2.197224577,0,1.609437912
Zfp683,0,0,0,0,1.945910149,0,0,0,0,0,0,0,4.65396035,4.672828834,5.081404365,4.605170186,4.663439094,4.820281566,5.81711116,5.327876169,4.836281907,4.605170186,4.663439094,4.844187086
Gm11772,0,0,0,0,0,0,0,0,0,1.945910149,0.693147181,0,0,2.397895273,0,0,0,0,0,0,0,0,0,1.386294361
Gm39321,4.828313737,5.420534999,5.707110265,5.003946306,5.099866428,4.852030264,5.488937726,5.375278408,4.727387819,4.356708827,3.951243719,1.802157909,0.693147181,0,0,0,0,4.290459441,0.693147181,0,0,2.708050201,0,0
Lmo2,8.67573422,8.487352349,8.221747728,9.047233034,9.039670668,8.824677891,8.710454688,8.472823244,8.913146539,8.536995819,8.724532511,5.988978829,4.17438727,4.543294782,4.369447852,4.48863637,4.356708827,4.682131227,1.098612289,4.812184355,3.135494216,4.644390899,1.098612289,2.302585093
Gm33994,0,0,0,0,0,0,0,0,0,0,0.693147181,0,4.564348191,5.361292166,5.220355825,5.533389489,4.158883083,5.840641657,4.852030264,4.624972813,5.384495063,4.927253685,4.605170186,4.787491743
Gm47730,5.147494477,5.129898715,5.710427017,5.902633333,5.768320996,5.017279837,4.382026635,3.33220451,4.882801923,3.80666249,4.905274778,2.849856652,0,0,0,0,0,0,0,0,0,0,0,0
Gm18417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.397895273,0,0,0,0,0,0,0.693147181
B4galnt4,0,0,0,0,0.693147181,0,0,0,0,0,0,0.165513995,5.111987788,5.934894196,3.988984047,6.025865974,4.795790546,5.624017506,4.875197323,5.96870756,5.252273428,6.444131257,5.049856007,5.752572639
Ahrr,0,0,0,0,0,0,0,0,2.833213344,0,0,0,0,2.564949357,3.970291914,2.708050201,0,0,0.693147181,0,3.17805383,3.044522438,1.945910149,0
Iqgap2,2.079441542,5.099866428,3.218875825,4.934473933,3.931825633,3.36729583,4.189654742,5.283203729,4.127134385,4.700480366,3.63758616,2.528422075,8.786456678,8.728102205,8.999495876,8.668711839,8.633196867,8.955448122,8.655911111,8.781248333,8.89068592,9.032886947,8.426611813,8.733110698
Igkv4-58,4.770684624,5.068904202,5.123963979,4.976733742,5.117993812,4.934473933,5.480638923,3.713572067,5.153291594,5.860786223,4.532599493,0.430470025,0,0,0,0.693147181,0,0,0,0,0,0,0,0
B3gnt7,4.65396035,4.852030264,4.143134726,4.804021045,5.164785974,4.532599493,4.418840608,3.401197382,5.141663557,4.804021045,4.584967479,2.790519746,2.397895273,0,2.833213344,0,0,0,0,2.833213344,2.708050201,0.693147181,3.401197382,2.564949357
Enpp5,0,2.197224577,0,0,0,0,0,0,0.693147181,0,0,0,4.418840608,4.934473933,4.060443011,4.605170186,5.370638028,5.451038454,5.501258211,4.736198448,4.820281566,4.934473933,4.804021045,4.317488114
Myl4,5.484796933,5.33753808,5.451038454,5.717027701,5.707110265,5.159055299,5.370638028,5.402677382,5.209486153,4.276666119,4.997212274,3.308363745,0,3.912023005,4.110873864,0.693147181,4.406719247,2.564949357,0.693147181,4.127134385,4.406719247,4.553876892,0,1.945910149
Gm37666,0,2.63905733,0,3.931825633,0,1.609437912,0,0,0,0,0,0,2.890371758,4.574710979,3.36729583,3.135494216,3.433987204,4.369447852,4.890349128,2.397895273,3.850147602,3.044522438,3.135494216,3.218875825
Gm7457,0,0,0,0,0,0,0,0,0,0,0,1.138847849,5.726847748,5.733341277,3.828641396,4.304065093,4.564348191,5.913503006,5.66296048,2.890371758,5.209486153,5.18178355,4.543294782,4.317488114
Gm26583,3.401197382,3.610917913,0,2.564949357,4.007333185,2.833213344,2.944438979,1.609437912,3.496507561,4.262679877,0,0.598375259,6.22059017,6.011267174,6.345636361,5.840641657,6.634633358,6.605297921,6.829793738,6.133398043,6.484635236,5.96870756,6.124683391,6.052089169
Cbfa2t3,7.665753432,6.931471806,7.065613364,7.763021309,7.964850887,7.553810852,7.44132039,7.349873705,7.64921632,7.538494999,7.739794458,0.270849434,4.836281907,5.068904202,5.303304908,5.204006687,3.784189634,2.833213344,4.369447852,3.258096538,4.33073334,4.110873864,4.406719247,3.988984047
Slco5a1,5.030437921,5.673323267,5.365976015,5.257495372,5.846438775,4.820281566,5.117993812,4.543294782,4.33073334,4.976733742,4.219507705,3.472048927,3.135494216,0,0,0,0,0,0,0,0,2.63905733,0,0
Map3k20,4.852030264,4.700480366,4.262679877,5.424950017,5.187385806,5.023880521,5.370638028,4.094344562,5.105945474,4.060443011,5.081404365,2.886020113,3.401197382,3.761200116,3.610917913,4.736198448,2.833213344,4.634728988,1.609437912,0,2.944438979,4.48863637,1.098612289,2.995732274
Gm43800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.397895273,0,2.564949357,0,2.564949357,0,1.609437912
Gm47324,6.12905021,5.966146739,4.553876892,5.874930731,6.03787092,5.655991811,5.556828062,4.709530201,5.66296048,4.094344562,5.298317367,1.098489859,4.262679877,4.96284463,2.944438979,1.609437912,4.465908119,4.521788577,3.135494216,4.369447852,4.744932128,3.713572067,4.615120517,3.63758616
Gm12689,0,0,0,2.564949357,0,0,0,0,0,0,2.564949357,0,0,0,0,0,0,0,0,0,0,0,0,0
Tbc1d16,2.564949357,0,0,2.197224577,0.693147181,0,0,0.693147181,0,0,0,0,6.17586727,6.383506635,7.048386409,6.077642243,6.805722553,6.040254711,6.285998095,5.963579344,6.543911846,5.955837369,5.910796644,5.627621114
Gm21909,0,0,0,0,0,0,0,0,0,0,0.693147181,0,0,0,1.609437912,1.791759469,1.609437912,0,1.609437912,0,2.944438979,2.397895273,0,0
Gm45472,2.397895273,1.945910149,0,1.945910149,3.433987204,3.610917913,0,1.609437912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cdkl1,5.267858159,5.192956851,4.912654886,5.916202063,4.836281907,4.875197323,5.117993812,5.141663557,5.159055299,5.402677382,4.564348191,2.746077721,3.135494216,0.693147181,0,0,0,0,0,0,3.044522438,2.197224577,0,1.609437912
Gm38377,0,3.737669618,0,3.091042453,0,3.496507561,2.944438979,0,2.48490665,0,0,0,2.890371758,4.543294782,4.33073334,3.761200116,3.091042453,3.17805383,4.584967479,3.784189634,4.65396035,2.302585093,2.772588722,3.871201011
Ighv1-4,4.94875989,4.905274778,4.59511985,4.543294782,5.442417711,4.521788577,4.430816799,4.770684624,5.017279837,5.602118821,4.875197323,4.186055189,0,0,0,0,0,0,0,0,0,0,0,1.386294361
Lrp12,0,3.36729583,0,0,0,0,2.397895273,0,0,0,0,0,5.631211782,5.241747015,5.556828062,5.616771098,5.525452939,6.249975242,5.934894196,5.056245805,5.908082938,4.465908119,4.905274778,4.48863637
Ttc12,0,0,0,0.693147181,0,0,0,0,2.833213344,0,0,0,3.295836866,3.295836866,0,0,0,0,0,0.693147181,0,0,0,0
Trav14n-3,0,0,0,0,0.693147181,0,0,0,0,0,0,0,5.049856007,4.110873864,4.96284463,5.552959585,5.231108617,5.627621114,4.990432587,5.247024072,4.828313737,4.477336814,4.477336814,4.553876892
Gipc3,3.737669618,4.143134726,4.65396035,5.407171771,4.976733742,4.17438727,4.454347296,4.990432587,5.257495372,5.081404365,4.553876892,0.341076042,3.17805383,4.262679877,0,4.8978398,3.891820298,2.302585093,4.574710979,4.234106505,5.521460918,4.875197323,3.465735903,4.753590191
Gm27206,3.091042453,3.36729583,0,0,0,4.248495242,1.386294361,3.433987204,3.713572067,2.944438979,4.787491743,1.379831855,5.459585514,5.783825182,5.973809612,5.869296913,5.602118821,5.973809612,5.411646052,4.762173935,5.811140993,5.365976015,5.393627546,5.342334252
Slain1os,4.9698133,4.762173935,3.610917913,5.111987788,4.234106505,4.553876892,4.17438727,4.919980926,3.091042453,3.850147602,3.135494216,0.670002265,4.934473933,5.446737372,5.159055299,3.295836866,5.424950017,5.347107531,5.655991811,5.484796933,5.521460918,5.375278408,4.852030264,5.272999559
Igkv3-1,5.081404365,4.17438727,5.198497031,5.093750201,5.375278408,4.709530201,3.433987204,4.941642423,5.38907173,4.941642423,4.820281566,2.795321654,0,0,0,0,0,0,0,0,0,0,0,0
Ms4a7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.433987204,2.197224577,0,0,0,0,0,0
